ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh
MWI,99103,Age specific fertility rate: 15-19,161,0,MW,Malawi,1992,MW1992DHS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,1992,DHS,,,,
MWI,99098,Age specific fertility rate: 20-24,287,0,MW,Malawi,1992,MW1992DHS,FE_FRTR_W_A20,11763020,I,1000,0,Total,Total,0,,1,1,FEFRTRWA20,,1992,DHS,,,,
MWI,99099,Age specific fertility rate: 25-29,268,0,MW,Malawi,1992,MW1992DHS,FE_FRTR_W_A25,11763030,I,1000,0,Total,Total,0,,1,1,FEFRTRWA25,,1992,DHS,,,,
MWI,99100,Age specific fertility rate: 30-34,255,0,MW,Malawi,1992,MW1992DHS,FE_FRTR_W_A30,11763040,I,1000,0,Total,Total,0,,1,1,FEFRTRWA30,,1992,DHS,,,,
MWI,99101,Age specific fertility rate: 35-39,197,0,MW,Malawi,1992,MW1992DHS,FE_FRTR_W_A35,11763050,I,1000,0,Total,Total,0,,1,1,FEFRTRWA35,,1992,DHS,,,,
MWI,99104,Age specific fertility rate: 40-44,120,0,MW,Malawi,1992,MW1992DHS,FE_FRTR_W_A40,11763060,I,1000,0,Total,Total,0,,1,1,FEFRTRWA40,,1992,DHS,,,,
MWI,99106,Age specific fertility rate: 45-49,58,0,MW,Malawi,1992,MW1992DHS,FE_FRTR_W_A45,11763070,I,1000,0,Total,Total,0,,1,1,FEFRTRWA45,,1992,DHS,,,,
MWI,99105,Total fertility rate 15-49,6.7,1,MW,Malawi,1992,MW1992DHS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,1992,DHS,,,,
MWI,99107,Total fertility rate 15-44,6.4,1,MW,Malawi,1992,MW1992DHS,FE_FRTR_W_TF4,11763090,I,1000,0,Total,Total,0,,1,1,FEFRTRWTF4,,1992,DHS,,,,
MWI,97967,General fertility rate,223,0,MW,Malawi,1992,MW1992DHS,FE_FRTR_W_GFR,11763100,I,1000,0,Total,Total,0,,1,1,FEFRTRWGFR,,1992,DHS,,,,
MWI,99097,Crude birth rate,43.8,1,MW,Malawi,1992,MW1992DHS,FE_FRTR_W_CBR,11763110,I,1000,0,Total,Total,0,,1,1,FEFRTRWCBR,,1992,DHS,,,,
MWI,181274,Total wanted fertility rate,5.7,1,MW,Malawi,1992,MW1992DHS,PR_WTFR_W_WFR,22333010,I,1000,0,Total,Total,0,,1,1,PRWTFRWWFR,,1992,DHS,,,,
MWI,99200,Age specific fertility rate: 15-19,172,0,MW,Malawi,2000,MW2000DHS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,2000,DHS,,,,
MWI,99211,Age specific fertility rate: 20-24,305,0,MW,Malawi,2000,MW2000DHS,FE_FRTR_W_A20,11763020,I,1000,0,Total,Total,0,,1,1,FEFRTRWA20,,2000,DHS,,,,
MWI,99212,Age specific fertility rate: 25-29,272,0,MW,Malawi,2000,MW2000DHS,FE_FRTR_W_A25,11763030,I,1000,0,Total,Total,0,,1,1,FEFRTRWA25,,2000,DHS,,,,
MWI,99213,Age specific fertility rate: 30-34,219,0,MW,Malawi,2000,MW2000DHS,FE_FRTR_W_A30,11763040,I,1000,0,Total,Total,0,,1,1,FEFRTRWA30,,2000,DHS,,,,
MWI,99214,Age specific fertility rate: 35-39,167,0,MW,Malawi,2000,MW2000DHS,FE_FRTR_W_A35,11763050,I,1000,0,Total,Total,0,,1,1,FEFRTRWA35,,2000,DHS,,,,
MWI,99201,Age specific fertility rate: 40-44,94,0,MW,Malawi,2000,MW2000DHS,FE_FRTR_W_A40,11763060,I,1000,0,Total,Total,0,,1,1,FEFRTRWA40,,2000,DHS,,,,
MWI,99206,Age specific fertility rate: 45-49,41,0,MW,Malawi,2000,MW2000DHS,FE_FRTR_W_A45,11763070,I,1000,0,Total,Total,0,,1,1,FEFRTRWA45,,2000,DHS,,,,
MWI,99210,Total fertility rate 15-49,6.3,1,MW,Malawi,2000,MW2000DHS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,2000,DHS,,,,
MWI,99207,Total fertility rate 15-44,6.1,1,MW,Malawi,2000,MW2000DHS,FE_FRTR_W_TF4,11763090,I,1000,0,Total,Total,0,,1,1,FEFRTRWTF4,,2000,DHS,,,,
MWI,99208,General fertility rate,223,0,MW,Malawi,2000,MW2000DHS,FE_FRTR_W_GFR,11763100,I,1000,0,Total,Total,0,,1,1,FEFRTRWGFR,,2000,DHS,,,,
MWI,99209,Crude birth rate,45.5,1,MW,Malawi,2000,MW2000DHS,FE_FRTR_W_CBR,11763110,I,1000,0,Total,Total,0,,1,1,FEFRTRWCBR,,2000,DHS,,,,
MWI,181540,Total wanted fertility rate,5.2,1,MW,Malawi,2000,MW2000DHS,PR_WTFR_W_WFR,22333010,I,1000,0,Total,Total,0,,1,1,PRWTFRWWFR,,2000,DHS,,,,
MWI,98912,Age specific fertility rate: 15-19,162,0,MW,Malawi,2004,MW2004DHS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,2004,DHS,,,,
